分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
L,L2401,LC4,"4,532 ",2.49%,5.27%,8.50%,12.00%,14.10%,16.13%,18.14%,19.99%,22.51%,24.45%,26.28%,28.27%,30.47%,32.41%,33.96%
L,L2402,LC4,"1,656 ",0.42%,1.39%,2.60%,6.22%,10.39%,12.20%,15.34%,17.09%,19.38%,22.10%,25.24%,27.29%,29.29%,32.13%,35.51%
L,L2501,LC4,"9,623 ",1.38%,3.45%,5.85%,8.87%,11.77%,14.56%,17.25%,19.83%,23.14%,25.74%,28.96%,32.22%,34.96%,39.05%,43.32%
L,L2601,LC4,"8,371 ",0.99%,2.87%,5.14%,7.50%,9.66%,12.33%,15.18%,17.75%,20.58%,23.18%,25.59%,28.28%,31.61%,35.91%,41.12%
L,L2701,LC4,"5,702 ",1.75%,3.79%,7.14%,10.00%,13.35%,16.73%,19.68%,23.11%,26.11%,29.13%,32.43%,35.93%,39.60%,43.49%,48.91%
L,L2702,LC4,"2,049 ",0.83%,2.73%,5.42%,8.83%,11.62%,14.69%,18.40%,21.47%,24.84%,27.38%,30.16%,33.53%,35.97%,39.87%,46.51%
L,L2801,LC4,"9,970 ",0.88%,2.70%,3.77%,7.07%,9.40%,11.33%,14.05%,16.47%,18.88%,21.85%,24.65%,27.70%,30.85%,34.93%,40.64%
L,L2901,LC4,"2,278 ",0.75%,3.60%,5.88%,8.25%,10.18%,12.73%,15.10%,17.78%,20.37%,22.87%,25.33%,27.52%,30.38%,33.41%,37.36%
L,L2902,LC4,"2,505 ",1.16%,2.36%,5.47%,9.38%,11.82%,14.33%,16.33%,18.68%,21.20%,23.55%,25.55%,28.74%,31.82%,36.25%,39.76%
L,L2903,LC4,"2,723 ",1.54%,3.56%,7.20%,9.77%,12.05%,14.73%,18.29%,21.01%,23.28%,25.60%,28.87%,32.13%,35.03%,37.72%,43.11%
M,M0101,LC4,"9,661 ",0.85%,2.01%,4.32%,7.07%,9.12%,11.26%,14.59%,17.17%,19.92%,22.39%,24.76%,27.60%,31.06%,34.90%,39.79%
M,M0201,LC4,"10,226 ",0.81%,2.38%,5.79%,8.30%,11.24%,13.57%,16.12%,19.33%,22.12%,25.02%,27.42%,30.67%,33.61%,36.85%,40.72%
M,M0301,LC4,"7,850 ",0.83%,2.51%,4.62%,7.13%,9.45%,11.34%,13.31%,16.01%,18.32%,21.22%,23.92%,27.26%,31.45%,36.00%,41.40%
M,M0401,LC4,"7,493 ",0.64%,2.08%,4.60%,7.55%,9.78%,11.40%,14.43%,16.12%,18.26%,20.83%,24.01%,27.33%,30.71%,35.02%,40.08%
M,M0501,LC4,"5,838 ",0.87%,2.21%,4.15%,6.63%,9.44%,12.23%,15.04%,17.66%,20.40%,22.94%,25.81%,28.76%,32.48%,35.22%,39.04%
M,M0601,LC4,"5,728 ",0.93%,2.51%,4.47%,7.31%,10.81%,13.44%,16.22%,18.77%,21.93%,24.70%,27.57%,30.81%,33.99%,38.04%,43.14%
M,M0701,LC4,"1,019 ",0.49%,1.37%,3.34%,5.79%,7.95%,9.52%,11.48%,13.25%,15.21%,17.17%,18.35%,21.49%,24.63%,27.58%,32.09%
M,M0702,LC4,"7,055 ",0.84%,2.08%,3.63%,5.77%,9.55%,11.85%,14.13%,17.02%,19.76%,22.42%,25.70%,28.24%,31.81%,36.14%,41.03%
M,M0703,LC4,"6,629 ",0.56%,2.25%,4.40%,7.47%,9.96%,14.17%,15.04%,17.77%,20.65%,22.97%,25.43%,28.35%,31.44%,35.27%,39.81%
M,M0801,LC4,"6,143 ",0.70%,1.86%,3.52%,5.52%,7.60%,9.30%,11.02%,12.53%,14.57%,16.56%,18.88%,21.89%,25.41%,28.42%,32.66%
M,M0802,LC4,"3,843 ",0.57%,1.77%,3.38%,5.75%,8.22%,10.02%,11.97%,13.51%,15.98%,18.55%,20.58%,24.02%,26.70%,30.58%,35.34%
M,M0901,LC4,"4,676 ",0.94%,2.91%,5.88%,8.13%,9.90%,12.53%,15.31%,17.19%,20.04%,22.39%,24.85%,28.08%,30.99%,34.11%,37.45%
M,M0902,LC4,"3,427 ",0.61%,2.01%,4.70%,7.70%,10.07%,13.48%,15.79%,17.95%,20.75%,23.72%,27.05%,30.03%,33.99%,37.41%,43.10%
M,M1001,LC4,"3,064 ",0.46%,1.96%,3.72%,5.78%,8.22%,11.42%,13.48%,16.29%,18.80%,21.28%,24.67%,27.38%,30.12%,33.22%,38.25%
M,M1002,LC4,"1,251 ",0.48%,1.68%,3.84%,7.35%,10.55%,12.07%,14.63%,16.47%,18.78%,23.02%,26.78%,31.25%,34.29%,36.29%,39.97%
M,M1003,LC4,"2,772 ",0.76%,1.62%,2.81%,5.38%,7.97%,10.97%,13.42%,14.79%,17.64%,19.91%,22.51%,25.79%,28.90%,32.86%,36.47%
M,M1101,LC4,"1,209 ",0.50%,2.07%,2.73%,5.87%,8.19%,9.18%,12.57%,14.72%,16.29%,18.11%,20.43%,24.07%,26.63%,29.03%,33.75%
M,M1102,LC4,"2,740 ",1.09%,3.03%,4.71%,8.50%,10.07%,12.23%,15.51%,17.23%,19.60%,22.45%,25.00%,28.87%,32.99%,37.15%,41.39%
M,M1103,LC4,"2,886 ",0.55%,2.39%,4.57%,6.34%,7.97%,10.01%,12.40%,14.48%,16.94%,19.44%,21.31%,24.64%,28.72%,32.57%,37.39%
M,M1201,LC4,"11,001 ",1.09%,2.76%,4.61%,7.54%,10.46%,13.06%,16.06%,18.59%,21.46%,24.53%,27.53%,30.89%,34.13%,38.51%,43.36%
M,M1301,LC4,"10,314 ",0.43%,2.14%,5.13%,8.12%,10.41%,12.91%,15.07%,17.53%,20.46%,23.41%,26.64%,29.82%,33.20%,36.77%,43.47%
M,M1401,LC4,"10,929 ",1.29%,3.12%,5.33%,7.33%,10.02%,11.76%,13.83%,16.00%,18.27%,20.74%,23.40%,26.51%,29.24%,32.50%,38.24%
M,M1501,LC4,"8,963 ",0.74%,2.38%,4.56%,7.24%,10.16%,12.98%,15.54%,17.91%,21.30%,24.00%,27.18%,30.16%,33.56%,36.86%,42.14%
M,M1601,LC4,"6,625 ",1.34%,3.41%,5.92%,8.38%,10.99%,13.48%,15.79%,17.80%,20.20%,22.29%,24.85%,27.23%,30.87%,33.95%,38.51%
M,M1701,LC4,"6,936 ",0.06%,0.14%,0.20%,7.90%,10.94%,13.24%,15.74%,18.30%,21.05%,23.69%,26.25%,29.76%,33.45%,36.88%,41.06%
M,M1801,LC4,"4,911 ",0.98%,3.32%,6.45%,9.47%,12.24%,14.68%,17.02%,19.55%,22.11%,24.84%,27.67%,30.48%,33.86%,38.65%,43.09%
M,M1901,LC4,"8,223 ",0.51%,2.04%,3.95%,6.52%,9.06%,10.96%,12.81%,14.79%,17.68%,20.18%,23.01%,26.86%,31.11%,36.00%,42.96%
M,M2001,LC4,"11,052 ",1.19%,2.54%,4.76%,7.46%,10.37%,12.59%,14.79%,17.05%,19.57%,22.50%,25.47%,29.26%,33.21%,37.92%,43.95%
M,M2101,LC4,"8,729 ",1.09%,3.05%,5.04%,8.42%,11.28%,14.27%,16.71%,20.85%,23.27%,25.86%,28.97%,31.72%,35.07%,38.97%,44.93%
M,M2201,LC4,"5,370 ",1.47%,3.22%,5.40%,8.79%,12.25%,15.62%,18.83%,21.68%,25.40%,28.49%,32.76%,36.29%,39.61%,43.71%,48.77%
M,M2301,LC4,"11,534 ",0.83%,2.64%,4.46%,7.20%,9.24%,11.66%,13.99%,16.49%,19.19%,21.89%,24.77%,27.84%,30.95%,34.61%,38.95%
M,M2401,LC4,"6,791 ",0.88%,2.46%,3.93%,6.85%,9.22%,11.01%,13.34%,15.68%,18.32%,20.56%,23.62%,26.34%,29.51%,33.37%,38.67%
M,M2402,LC4,"5,934 ",1.94%,4.94%,7.25%,9.88%,13.20%,15.42%,17.71%,20.14%,22.82%,25.13%,27.42%,30.15%,33.54%,37.31%,41.64%
M,M2501,LC4,"7,367 ",0.98%,2.40%,4.71%,6.94%,9.60%,12.30%,15.05%,17.78%,20.58%,23.01%,25.98%,28.36%,31.60%,35.88%,44.92%
M,M2601,LC4,"2,633 ",0.46%,1.60%,5.73%,9.00%,11.36%,12.27%,13.10%,14.13%,15.61%,16.98%,18.88%,21.23%,23.02%,25.45%,27.00%
M,M2602,LC4,"4,515 ",0.75%,3.37%,5.80%,8.42%,11.16%,13.07%,15.42%,18.18%,20.47%,22.92%,24.92%,27.71%,29.97%,33.11%,36.26%
M,M2701,LC4,"5,327 ",0.51%,2.01%,3.72%,5.99%,7.79%,9.05%,10.51%,12.26%,14.32%,16.48%,18.62%,21.40%,24.24%,27.90%,30.64%
M,M2801,LC4,"4,308 ",0.88%,2.60%,4.69%,7.24%,9.98%,11.42%,13.86%,16.57%,19.92%,21.91%,25.77%,28.51%,30.41%,34.10%,37.49%
M,M2901,LC4,"7,618 ",0.95%,2.91%,5.01%,7.31%,9.87%,12.01%,14.15%,16.51%,19.10%,21.83%,24.74%,27.34%,30.06%,32.91%,36.94%
N,N0101,LC5,"6,072 ",0.82%,1.93%,4.41%,7.28%,10.21%,12.58%,15.58%,18.07%,20.82%,23.16%,25.13%,27.96%,31.16%,34.17%,39.23%
N,N0201,LC5,"1,763 ",0.68%,1.93%,3.01%,5.56%,8.17%,10.66%,12.71%,14.80%,18.26%,20.82%,22.92%,26.43%,28.93%,31.82%,35.96%
N,N0202,LC5,"2,648 ",0.68%,2.23%,4.72%,8.42%,11.18%,13.78%,17.11%,19.56%,23.90%,27.30%,31.08%,33.76%,37.95%,42.30%,48.79%
N,N0301,LC5,"11,460 ",0.81%,2.69%,5.58%,8.05%,10.95%,13.19%,16.02%,18.12%,21.09%,23.64%,26.78%,29.88%,32.91%,36.46%,40.65%
N,N0401,LC5,"13,202 ",0.56%,2.60%,4.94%,8.48%,11.78%,15.07%,18.59%,21.66%,25.23%,28.28%,31.64%,34.84%,38.55%,42.92%,49.48%
N,N0501,LC5,"10,373 ",1.16%,2.69%,4.57%,7.52%,10.22%,12.54%,15.08%,17.54%,20.35%,23.42%,26.53%,29.47%,32.71%,36.81%,42.08%
N,N0601,LC5,"4,734 ",0.00%,0.19%,0.30%,0.53%,0.68%,0.91%,1.06%,1.27%,1.46%,28.52%,32.28%,36.33%,40.18%,44.61%,49.39%
N,N0602,LC5,"6,487 ",1.54%,3.61%,5.80%,8.74%,12.50%,15.37%,18.82%,21.30%,24.73%,27.72%,30.66%,34.58%,38.03%,42.84%,48.42%
N,N0701,LC5,"8,858 ",1.51%,3.54%,6.20%,8.76%,12.17%,14.56%,17.43%,20.09%,23.06%,26.54%,29.88%,33.11%,36.74%,40.29%,47.18%
N,N0801,LC5,"2,644 ",1.06%,3.52%,6.62%,11.42%,14.45%,17.32%,18.99%,21.03%,23.87%,25.98%,28.74%,31.69%,34.15%,36.95%,39.56%
N,N0802,LC5,"1,433 ",0.84%,3.91%,6.63%,9.56%,12.70%,14.79%,16.68%,18.28%,21.00%,22.89%,24.49%,26.73%,27.77%,29.73%,32.94%
N,N0803,LC5,"2,922 ",1.16%,2.60%,6.57%,10.06%,13.00%,15.54%,18.41%,21.15%,23.92%,26.11%,28.54%,31.11%,33.68%,36.52%,40.01%
N,N0804,LC5,"2,092 ",0.91%,2.82%,6.17%,8.56%,11.90%,14.24%,16.78%,19.55%,22.23%,26.05%,30.78%,35.13%,38.48%,43.07%,53.54%
N,N0901,LC5,"6,882 ",0.76%,1.82%,4.01%,6.23%,8.46%,11.54%,13.67%,16.06%,18.99%,21.77%,24.67%,27.64%,31.11%,34.54%,39.48%
N,N0902,LC5,"2,973 ",1.45%,3.53%,6.02%,9.42%,12.21%,14.43%,17.63%,19.85%,22.84%,25.53%,28.36%,31.48%,35.49%,39.15%,44.13%
N,N1001,LC5,"8,392 ",1.62%,4.04%,6.59%,9.20%,12.05%,14.07%,16.37%,18.84%,21.23%,24.50%,26.86%,29.27%,32.29%,34.45%,39.37%
N,N1002,LC5,"3,639 ",1.40%,3.11%,5.39%,8.16%,11.07%,14.04%,17.09%,19.54%,22.42%,25.42%,28.44%,31.33%,34.95%,38.39%,45.34%
N,N1101,LC5,"5,963 ",0.59%,1.71%,3.05%,4.88%,7.73%,10.40%,12.56%,14.76%,17.69%,20.17%,22.67%,25.07%,27.79%,30.54%,35.75%
N,N1102,LC5,"4,836 ",0.79%,2.61%,5.71%,8.44%,12.24%,14.85%,17.43%,19.31%,21.94%,24.86%,28.52%,32.22%,35.81%,40.18%,46.36%
N,N1301,LC5,"8,166 ",0.84%,2.20%,4.13%,7.42%,9.81%,12.43%,14.89%,17.78%,20.13%,22.70%,25.66%,28.34%,31.01%,34.88%,39.26%
N,N1401,LC5,"1,466 ",0.68%,1.84%,2.66%,5.25%,6.89%,9.35%,10.85%,11.87%,13.30%,14.26%,15.89%,18.28%,19.71%,21.08%,23.87%
N,N1402,LC5,994 ,1.01%,3.12%,5.53%,10.56%,13.08%,15.19%,17.40%,19.22%,21.13%,21.83%,22.64%,24.55%,25.25%,26.26%,28.57%
N,N1403,LC5,134 ,0.00%,14.93%,18.66%,25.37%,25.37%,27.61%,29.85%,31.34%,35.07%,37.31%,38.81%,38.81%,39.55%,39.55%,39.55%
N,N1404,LC5,"4,108 ",0.68%,3.21%,7.25%,13.70%,17.87%,20.86%,23.69%,26.00%,28.19%,30.06%,33.64%,37.56%,41.33%,42.75%,45.52%
N,N1405,LC5,81 ,0.00%,7.41%,9.88%,13.58%,16.05%,16.05%,23.46%,24.69%,29.63%,33.33%,34.57%,35.80%,39.51%,41.98%,41.98%
N,N1406,LC5,"1,376 ",0.80%,3.49%,4.80%,8.28%,10.03%,13.44%,14.75%,15.99%,18.10%,19.55%,22.75%,24.93%,27.03%,29.14%,32.12%
N,N1501,LC5,"10,520 ",0.67%,1.95%,3.37%,5.95%,8.11%,10.46%,12.83%,14.79%,17.11%,19.33%,21.80%,24.61%,27.81%,31.26%,36.15%
N,N1601,LC5,"1,281 ",0.08%,3.12%,5.23%,8.20%,11.16%,13.43%,14.68%,16.24%,18.27%,20.53%,22.79%,23.81%,25.68%,27.79%,29.59%
N,N1602,LC5,"1,634 ",0.80%,1.96%,3.55%,6.73%,8.51%,10.16%,12.12%,14.32%,15.79%,17.81%,20.32%,23.44%,24.36%,26.56%,30.29%
N,N1603,LC5,"2,366 ",1.01%,2.45%,3.55%,5.83%,7.23%,8.75%,10.65%,11.88%,13.44%,15.47%,17.33%,19.10%,21.09%,22.23%,24.94%
N,N1604,LC5,"1,883 ",1.22%,2.18%,3.88%,6.80%,8.44%,10.57%,11.84%,13.06%,15.45%,18.11%,21.56%,23.31%,24.91%,27.46%,29.16%
N,N1605,LC5,491 ,0.20%,3.05%,5.70%,11.41%,15.89%,18.33%,20.77%,22.20%,23.83%,26.88%,28.51%,31.77%,34.22%,37.07%,41.55%
N,N1606,LC5,"5,762 ",0.62%,2.03%,4.06%,7.57%,10.95%,15.10%,19.78%,21.66%,23.55%,26.43%,30.04%,33.10%,35.80%,40.02%,44.60%
P,P0101,LC5,"7,418 ",1.23%,2.70%,5.77%,8.45%,11.46%,14.49%,17.88%,20.84%,24.29%,27.78%,30.28%,33.12%,37.03%,40.70%,44.88%
P,P0201,LC5,"6,287 ",1.02%,3.04%,5.58%,9.69%,13.20%,17.31%,20.90%,24.64%,28.04%,31.88%,34.87%,38.46%,42.58%,46.83%,51.69%
P,P0301,LC5,"3,054 ",2.16%,3.11%,5.40%,8.87%,12.61%,15.42%,18.99%,21.97%,25.18%,28.59%,32.12%,34.94%,38.67%,44.40%,49.12%
P,P0302,LC5,"5,422 ",1.05%,3.19%,5.07%,8.23%,10.49%,12.74%,14.94%,17.36%,19.73%,22.24%,25.05%,28.37%,31.45%,34.97%,40.10%
P,P0401,LC5,"9,358 ",0.81%,2.49%,5.00%,7.37%,9.75%,11.95%,14.38%,16.69%,19.49%,22.50%,25.30%,28.28%,31.15%,34.22%,37.86%
P,P0501,LC5,"10,104 ",0.02%,0.05%,0.08%,0.13%,0.17%,0.21%,0.28%,0.36%,0.40%,20.27%,23.39%,26.31%,29.15%,33.15%,38.90%
P,P0601,LC5,"11,552 ",0.03%,1.44%,4.03%,6.86%,9.39%,11.84%,14.58%,16.87%,19.88%,22.95%,26.14%,30.09%,33.82%,38.60%,44.68%
P,P0701,LC5,"9,744 ",1.42%,3.14%,5.96%,9.27%,12.37%,15.25%,17.75%,20.54%,23.45%,26.85%,29.90%,33.28%,35.99%,40.18%,45.47%
P,P0801,LC5,"8,428 ",0.76%,2.55%,5.19%,7.88%,10.39%,12.53%,14.46%,16.94%,19.77%,22.83%,25.84%,29.07%,32.43%,36.34%,41.31%
P,P0802,LC5,"3,130 ",0.96%,2.43%,5.85%,8.79%,12.33%,15.94%,18.40%,21.63%,24.70%,28.40%,32.59%,35.59%,39.33%,43.74%,48.02%
P,P0901,LC5,"8,678 ",1.43%,3.96%,7.34%,10.35%,12.71%,15.28%,18.05%,20.79%,24.14%,26.90%,30.42%,33.37%,37.13%,40.82%,45.77%
P,P1001,LC5,"8,430 ",1.04%,2.88%,5.43%,7.95%,11.70%,14.61%,17.83%,20.96%,24.18%,27.30%,30.74%,33.65%,37.28%,41.30%,46.43%
P,P1002,LC5,"1,274 ",1.65%,3.69%,5.18%,9.97%,13.42%,16.09%,20.96%,23.00%,26.45%,30.46%,33.99%,37.60%,40.35%,44.19%,47.10%
P,P1101,LC5,"10,337 ",1.04%,2.98%,4.61%,7.09%,9.67%,11.81%,14.28%,16.64%,19.51%,22.18%,25.19%,28.01%,32.09%,35.94%,40.90%
P,P1201,LC5,"1,656 ",1.39%,3.14%,5.07%,8.57%,11.29%,13.10%,15.64%,17.81%,20.41%,24.21%,27.60%,30.68%,34.60%,39.79%,43.96%
P,P1301,LC5,368 ,1.36%,2.72%,6.79%,12.77%,13.59%,16.85%,21.47%,26.09%,30.98%,34.24%,35.60%,39.67%,43.48%,47.83%,51.90%
P,P1302,LC5,"4,332 ",0.90%,2.70%,3.88%,6.30%,8.47%,11.22%,13.34%,15.72%,17.96%,20.78%,23.61%,26.55%,28.49%,31.76%,35.55%
P,P1303,LC5,"1,121 ",1.07%,2.23%,4.64%,7.49%,9.19%,11.69%,14.27%,16.41%,19.27%,22.30%,26.40%,30.06%,34.52%,39.34%,44.51%
P,P1401,LC5,"9,714 ",0.94%,2.47%,4.20%,6.60%,8.86%,11.04%,13.39%,15.78%,18.50%,21.38%,24.27%,27.47%,30.25%,34.74%,40.23%
P,P1501,LC5,"10,416 ",0.62%,1.82%,3.15%,5.25%,6.84%,8.61%,10.69%,12.54%,14.71%,17.10%,19.64%,22.57%,25.81%,29.78%,34.43%
P,P1601,LC5,"6,556 ",0.99%,2.79%,5.19%,9.47%,12.42%,15.51%,19.66%,22.70%,25.85%,29.39%,31.39%,37.58%,40.95%,45.27%,50.12%
P,P1701,LC5,"3,248 ",0.83%,2.56%,5.26%,8.04%,11.18%,13.95%,16.23%,18.81%,21.98%,26.14%,30.30%,33.93%,37.19%,42.89%,49.05%
P,P1702,LC5,"1,291 ",0.70%,2.71%,4.80%,8.75%,10.84%,12.16%,13.94%,16.42%,19.36%,22.15%,26.57%,29.43%,31.99%,34.00%,36.87%
P,P1703,LC5,"1,482 ",1.75%,3.24%,5.60%,8.97%,12.35%,15.72%,18.83%,22.33%,26.18%,30.03%,33.13%,38.39%,42.58%,46.09%,51.48%
P,P1801,LC5,"1,948 ",1.08%,3.23%,5.60%,9.14%,11.55%,12.99%,15.86%,17.30%,19.82%,22.64%,25.67%,28.34%,31.88%,35.37%,39.94%
P,P1802,LC5,"4,002 ",0.87%,3.05%,5.65%,8.25%,11.17%,12.94%,14.89%,18.22%,20.64%,22.79%,25.81%,28.61%,31.98%,35.31%,40.43%
P,P1901,LC5,"4,055 ",0.76%,2.37%,4.69%,7.89%,10.63%,12.90%,16.47%,19.06%,21.45%,24.32%,27.72%,31.89%,35.29%,38.99%,43.77%
P,P1902,LC5,108 ,1.85%,2.78%,2.78%,5.56%,8.33%,12.04%,12.04%,14.81%,19.44%,22.22%,25.00%,28.70%,32.41%,33.33%,36.11%
P,P1903,LC5,347 ,2.59%,10.66%,18.44%,20.17%,25.36%,25.65%,26.22%,26.22%,26.22%,30.84%,34.01%,35.16%,36.31%,36.31%,36.31%
Q,Q0101,LC5,"9,915 ",1.38%,3.14%,5.77%,9.71%,12.78%,15.49%,18.22%,19.97%,21.94%,24.38%,26.56%,28.55%,30.89%,33.86%,36.79%
Q,Q0102,LC5,"1,902 ",0.89%,1.95%,3.47%,5.26%,6.36%,8.41%,9.67%,10.99%,12.36%,15.09%,17.82%,20.29%,22.45%,25.08%,28.34%
Q,Q0201,LC5,"4,426 ",0.14%,0.23%,2.49%,6.67%,8.88%,11.66%,14.53%,16.45%,18.59%,20.74%,23.61%,26.32%,29.53%,32.44%,37.12%
Q,Q0401,LC5,"9,137 ",0.82%,2.83%,5.28%,7.99%,10.64%,13.40%,16.21%,18.79%,21.83%,24.85%,27.66%,30.51%,33.35%,36.66%,41.67%
Q,Q0501,LC5,"4,016 ",0.15%,0.40%,0.60%,1.05%,1.39%,1.79%,1.99%,2.29%,20.52%,23.61%,26.42%,28.34%,30.40%,33.52%,36.98%
Q,Q0601,LC5,"5,448 ",0.84%,2.73%,4.39%,7.91%,10.76%,13.56%,15.84%,18.43%,20.78%,24.06%,27.28%,30.58%,34.53%,39.43%,46.02%
Q,Q0602,LC5,"2,270 ",0.79%,2.95%,4.93%,7.71%,10.70%,13.96%,18.19%,22.42%,25.68%,29.56%,34.10%,38.15%,42.82%,48.72%,56.78%
Q,Q0701,LC5,"7,468 ",0.90%,2.50%,3.44%,7.70%,13.91%,18.36%,23.02%,26.91%,31.78%,35.23%,39.86%,41.87%,48.18%,53.31%,60.77%
Q,Q0801,LC5,"7,266 ",0.87%,2.23%,4.39%,7.39%,9.44%,11.56%,13.83%,15.92%,18.91%,21.79%,24.64%,27.87%,31.65%,35.52%,40.56%
Q,Q0901,LC5,"5,758 ",0.50%,2.47%,4.10%,7.03%,8.87%,11.11%,13.42%,16.55%,18.81%,21.97%,24.80%,27.86%,33.28%,37.06%,41.65%
Q,Q1001,LC5,"7,909 ",0.71%,1.92%,3.19%,5.08%,9.60%,12.10%,15.97%,19.19%,22.54%,25.78%,29.32%,32.89%,35.96%,39.83%,46.33%
Q,Q1101,LC5,"10,006 ",0.96%,2.16%,4.34%,6.34%,10.52%,14.73%,19.39%,21.38%,24.50%,28.69%,32.35%,35.72%,39.82%,42.89%,49.22%
Q,Q1201,LC5,"11,262 ",0.76%,2.55%,5.22%,8.88%,14.12%,18.19%,21.19%,24.19%,28.31%,31.95%,36.01%,39.27%,43.15%,47.76%,52.83%
Q,Q1301,LC5,"1,960 ",0.10%,0.10%,0.20%,0.26%,0.36%,0.41%,0.41%,0.56%,24.49%,27.91%,30.77%,33.21%,36.43%,40.20%,44.29%
Q,Q1302,LC5,"4,156 ",1.08%,3.10%,5.13%,7.58%,10.39%,12.18%,14.70%,16.99%,19.44%,22.02%,25.22%,28.34%,31.40%,35.49%,39.29%
Q,Q1303,LC5,"4,495 ",0.82%,2.45%,4.94%,7.72%,9.94%,13.41%,16.80%,20.85%,24.96%,27.96%,31.70%,35.42%,39.00%,44.29%,51.72%
Q,Q1401,LC5,"10,588 ",0.80%,2.15%,4.17%,7.23%,9.29%,11.13%,13.39%,15.79%,18.62%,21.28%,24.31%,26.51%,30.90%,34.43%,39.30%
Q,Q1501,LC5,"11,059 ",0.74%,2.13%,3.96%,6.06%,8.55%,10.76%,13.07%,15.15%,17.63%,20.25%,22.87%,25.92%,28.56%,32.06%,36.88%
Q,Q1601,LC5,"11,115 ",1.17%,3.03%,4.73%,7.11%,10.99%,14.08%,17.54%,20.38%,23.90%,27.41%,30.51%,33.57%,36.81%,40.31%,45.02%
Q,Q1701,LC5,"8,412 ",0.88%,2.89%,4.08%,8.21%,14.59%,17.75%,22.10%,25.65%,29.20%,32.50%,34.83%,38.34%,42.15%,47.08%,53.73%
Q,Q1801,LC5,"11,319 ",1.21%,3.46%,5.70%,8.28%,10.64%,12.62%,14.72%,17.32%,19.95%,23.30%,26.58%,29.91%,32.86%,37.04%,40.89%
Q,Q1901,LC5,"7,994 ",0.98%,3.30%,6.76%,9.12%,11.82%,14.51%,17.09%,19.56%,22.53%,25.78%,28.47%,31.49%,34.84%,39.42%,44.57%
Q,Q2001,LC5,"6,908 ",0.87%,3.00%,6.27%,9.93%,12.90%,16.47%,19.18%,22.52%,25.74%,28.31%,31.57%,34.71%,38.33%,41.57%,45.54%
Q,Q2101,LC5,"10,077 ",1.35%,3.41%,5.73%,8.77%,11.88%,15.06%,18.24%,20.68%,23.95%,27.11%,30.25%,33.27%,36.77%,40.90%,45.61%
Q,Q2201,LC5,"9,079 ",1.12%,3.08%,5.50%,7.77%,9.58%,11.57%,13.31%,15.10%,17.40%,19.86%,22.60%,25.06%,28.08%,31.73%,36.33%
Q,Q2301,LC5,"10,095 ",1.14%,3.09%,5.48%,8.10%,10.25%,13.28%,15.72%,18.34%,21.12%,24.52%,27.04%,30.58%,33.88%,37.86%,42.61%
R,R0101,LC5,"7,178 ",0.64%,2.33%,5.00%,8.53%,12.32%,16.01%,18.79%,22.79%,26.00%,29.37%,32.60%,34.98%,38.28%,42.48%,47.27%
R,R0102,LC5,"1,151 ",0.96%,3.82%,7.56%,11.38%,14.25%,18.77%,23.37%,26.32%,29.45%,32.49%,37.53%,41.09%,44.74%,50.48%,60.30%
R,R0103,LC5,"1,331 ",1.73%,4.51%,7.44%,10.74%,14.80%,17.13%,20.06%,23.67%,27.87%,31.18%,35.84%,38.32%,43.05%,50.56%,56.12%
R,R0201,LC5,"6,026 ",1.05%,2.84%,5.64%,8.70%,11.57%,13.94%,16.28%,18.22%,20.76%,23.63%,26.50%,29.54%,32.56%,35.60%,38.90%
R,R0301,LC5,"12,110 ",0.77%,2.42%,4.66%,7.37%,9.98%,12.23%,14.75%,16.84%,19.72%,22.55%,25.41%,27.93%,30.23%,32.98%,37.00%
R,R0401,LC5,"8,032 ",1.29%,2.89%,7.33%,11.49%,15.20%,19.60%,23.51%,26.54%,30.24%,34.30%,38.09%,41.92%,45.84%,50.67%,56.90%
R,R0501,LC5,"8,012 ",1.19%,3.08%,5.25%,8.71%,12.07%,15.39%,18.20%,21.27%,24.15%,26.15%,31.13%,34.90%,38.49%,42.87%,49.29%
R,R0601,LC5,"4,334 ",1.02%,3.74%,5.75%,9.23%,12.90%,15.74%,18.80%,21.07%,23.47%,25.98%,30.00%,33.29%,36.87%,41.02%,46.47%
R,R0602,LC5,"3,483 ",1.46%,4.19%,6.98%,10.77%,14.93%,18.37%,21.85%,25.52%,29.43%,32.39%,37.67%,41.72%,45.28%,50.96%,55.56%
R,R0701,LC5,"9,495 ",1.12%,3.72%,5.63%,9.23%,11.76%,13.49%,15.91%,18.20%,20.59%,23.01%,25.71%,28.78%,31.47%,34.74%,38.87%
R,R0801,LC5,"12,541 ",1.75%,4.27%,7.21%,10.57%,13.52%,16.25%,19.28%,21.96%,25.01%,27.94%,31.04%,33.38%,37.13%,40.28%,44.14%
R,R0901,LC5,"7,521 ",1.04%,3.75%,6.08%,9.57%,13.14%,16.37%,19.55%,22.50%,25.85%,29.36%,32.84%,36.76%,41.56%,45.14%,49.57%
R,R1001,LC5,"8,381 ",0.72%,3.16%,6.03%,9.86%,13.08%,16.32%,19.09%,21.79%,24.64%,27.56%,31.02%,34.57%,37.88%,41.74%,46.00%
