dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
D,D10,D1001,"9,336 ",1.38%,3.94%,7.53%,11.46%,14.76%,17.47%,20.55%,23.39%,26.50%,29.57%,32.93%,36.01%,38.55%,41.26%,43.81%
D,D11,D1101,"1,434 ",0.42%,1.88%,4.32%,7.32%,11.51%,14.02%,18.27%,21.20%,24.83%,29.01%,33.26%,35.29%,37.94%,40.24%,42.89%
D,D11,D1102,"2,184 ",0.64%,1.60%,3.57%,6.59%,10.21%,13.74%,16.48%,18.73%,22.57%,25.50%,29.21%,32.74%,35.44%,39.56%,43.13%
D,D11,D1103,"1,478 ",0.34%,1.62%,3.79%,8.19%,12.11%,16.71%,19.96%,24.09%,27.40%,30.65%,33.63%,37.28%,40.93%,44.65%,48.65%
D,D14,D1401,"12,006 ",1.73%,5.01%,8.60%,11.49%,13.96%,16.46%,18.62%,20.53%,22.85%,25.20%,27.40%,29.76%,32.08%,34.39%,37.10%
D,D15,D1501,"2,696 ",1.71%,3.67%,6.16%,9.42%,12.24%,15.58%,18.43%,20.73%,24.11%,26.30%,29.27%,32.08%,35.57%,38.54%,42.17%
D,D15,D1502,"6,159 ",1.45%,3.96%,7.19%,11.87%,13.95%,17.60%,20.78%,24.05%,26.95%,30.04%,33.80%,37.57%,40.04%,45.19%,49.07%
D,D16,D1601,"1,699 ",0.88%,2.77%,5.47%,8.71%,12.01%,14.71%,16.95%,19.95%,23.90%,27.31%,30.96%,33.84%,35.14%,36.61%,39.67%
D,D16,D1602,"1,524 ",0.98%,2.17%,4.99%,8.14%,11.29%,14.83%,17.85%,20.54%,23.23%,25.20%,29.13%,32.81%,34.91%,37.20%,40.42%
D,D17,D1701,"6,607 ",1.51%,4.09%,7.51%,10.78%,13.30%,15.83%,18.30%,20.64%,22.73%,25.08%,27.58%,30.30%,32.81%,35.87%,39.47%
D,D17,D1702,"1,207 ",2.49%,8.04%,13.01%,20.38%,25.43%,29.33%,33.31%,35.21%,39.19%,43.83%,46.89%,50.12%,53.85%,56.92%,59.57%
E,E01,E0101,"3,493 ",0.46%,2.12%,3.75%,6.99%,9.96%,12.54%,15.23%,18.21%,21.41%,23.93%,26.85%,29.63%,32.15%,35.07%,38.02%
E,E02,E0201,"7,355 ",1.10%,3.20%,5.13%,7.61%,9.78%,12.13%,14.09%,16.36%,18.87%,21.18%,23.97%,26.15%,28.05%,30.09%,31.76%
E,E03,E0301,"9,044 ",0.77%,2.50%,5.75%,7.98%,10.31%,12.53%,14.74%,17.47%,20.19%,22.62%,24.59%,26.90%,29.05%,31.13%,32.73%
E,E04,E0401,"9,155 ",0.94%,4.00%,7.01%,10.56%,13.77%,16.66%,19.79%,22.53%,25.73%,28.62%,31.74%,34.58%,36.95%,39.43%,41.59%
E,E05,E0501,"9,698 ",0.93%,2.59%,5.23%,8.49%,11.12%,13.64%,16.28%,19.11%,22.19%,24.99%,27.60%,30.27%,32.92%,35.74%,38.02%
E,E06,E0601,"7,323 ",1.02%,3.35%,6.36%,9.75%,12.44%,14.93%,17.55%,20.13%,22.93%,25.24%,28.02%,30.29%,32.72%,34.77%,36.53%
E,E08,E0801,"3,902 ",0.59%,2.95%,5.74%,10.12%,14.02%,18.81%,22.73%,27.42%,30.86%,34.34%,37.78%,40.26%,44.00%,47.36%,51.72%
E,E09,E0901,"5,495 ",1.16%,3.29%,6.81%,10.30%,13.45%,16.16%,19.11%,21.87%,25.19%,27.52%,30.59%,32.88%,35.52%,38.27%,40.24%
E,E10,E1001,"6,297 ",0.94%,3.35%,6.18%,9.26%,12.34%,14.77%,17.50%,20.53%,24.03%,26.89%,29.73%,32.76%,35.73%,38.83%,42.07%
E,E11,E1101,"6,738 ",1.38%,3.62%,7.05%,10.85%,13.95%,17.71%,20.96%,23.61%,26.30%,28.52%,32.72%,34.97%,37.85%,40.47%,43.23%
E,E12,E1201,"7,682 ",0.77%,2.77%,5.48%,8.66%,11.60%,14.48%,17.37%,19.85%,22.88%,25.23%,28.69%,31.05%,33.21%,35.68%,37.93%
E,E13,E1301,"5,951 ",0.66%,2.55%,6.05%,9.28%,12.18%,14.62%,18.05%,20.57%,23.19%,25.61%,27.94%,30.28%,32.20%,34.46%,36.36%
E,E14,E1401,"5,943 ",1.40%,3.85%,6.81%,10.52%,12.84%,15.38%,18.26%,21.13%,23.79%,25.74%,27.92%,30.17%,33.01%,35.72%,37.66%
E,E15,E1501,"5,935 ",1.21%,3.94%,7.26%,11.05%,14.59%,17.32%,20.25%,22.73%,25.98%,28.29%,30.55%,32.77%,34.64%,36.46%,38.23%
E,E16,E1601,"4,060 ",1.48%,3.28%,6.16%,8.99%,12.41%,15.22%,17.88%,21.35%,24.46%,26.38%,30.37%,32.78%,35.30%,37.83%,40.47%
E,E16,E1602,"3,209 ",0.50%,1.59%,3.18%,4.71%,7.04%,9.04%,11.50%,14.02%,16.52%,18.04%,20.38%,22.44%,24.77%,26.86%,29.42%
E,E17,E1701,"6,932 ",0.53%,1.64%,3.00%,5.35%,8.04%,10.08%,12.56%,15.49%,17.63%,19.63%,22.49%,25.76%,27.87%,30.12%,32.29%
F,F01,F0101,"5,016 ",0.60%,2.93%,5.58%,8.79%,12.72%,16.55%,19.22%,22.01%,25.50%,28.57%,32.12%,35.09%,37.46%,40.21%,42.62%
