,Counts
"('30/05/2014-887', 'Present')",8
"('16/05/2013-498', 'Present')",8
"('29/05/2014-482', 'Present')",8
"('28/05/2014-358', 'Present')",8
"('29/05/2014-471', 'Present')",8
"('29/05/2014-664', 'Present')",8
"('30/05/2014-795', 'Present')",8
"('29/05/2014-660', 'Present')",8
"('27/05/2015-469', 'Present')",8
"('16/05/2013-524', 'Present')",8
"('28/05/2014-357', 'Present')",8
"('29/05/2014-661', 'Present')",8
"('30/05/2014-783', 'Present')",8
"('22/05/2015-425', 'Present')",8
"('30/05/2014-726', 'Present')",8
"('18/12/2014-4', 'Present')",8
"('30/05/2014-740', 'Present')",8
"('30/05/2014-739', 'Present')",8
"('22/05/2015-363', 'Present')",8
"('16/05/2013-680', 'Present')",8
"('30/05/2014-749', 'Present')",8
"('29/05/2014-632', 'Present')",8
"('21/05/2015-297', 'Present')",8
"('30/05/2014-853', 'Present')",8
"('29/05/2014-408', 'Present')",8
"('22/05/2015-430', 'Present')",8
"('29/05/2014-409', 'Present')",8
"('21/05/2015-283', 'Present')",8
"('30/05/2014-897', 'Present')",8
"('21/05/2015-216', 'Present')",8
"('28/05/2014-352', 'Present')",8
"('30/05/2014-804', 'Present')",8
"('22/05/2015-412', 'Present')",8
"('22/05/2015-406', 'Present')",8
"('16/05/2013-499', 'Present')",8
"('30/05/2014-929', 'Present')",8
"('21/05/2015-170', 'Present')",8
"('21/05/2015-278', 'Present')",8
"('16/05/2013-495', 'Present')",8
"('30/05/2014-888', 'Present')",8
"('21/05/2015-183', 'Present')",8
"('29/05/2014-671', 'Present')",8
"('21/05/2015-179', 'Present')",8
"('21/05/2015-284', 'Present')",8
"('20/05/2015-58', 'Present')",8
"('29/05/2014-678', 'Present')",8
"('21/05/2015-317', 'Present')",8
"('28/05/2014-364', 'Present')",8
"('22/05/2015-435', 'Present')",8
"('28/05/2014-350', 'Present')",8
"('30/05/2014-851', 'Present')",8
"('21/05/2015-269', 'Present')",8
"('04/06/2014-1001', 'Present')",8
"('30/05/2014-809', 'Present')",8
"('28/05/2014-347', 'Present')",8
"('30/05/2014-884', 'Present')",8
"('30/05/2014-736', 'Present')",8
"('21/05/2015-107', 'Present')",8
"('22/05/2015-397', 'Present')",8
"('21/05/2015-296', 'Present')",8
"('30/05/2014-747', 'Present')",8
"('30/05/2014-810', 'Present')",8
"('16/05/2013-493', 'Present')",8
"('29/05/2014-607', 'Present')",8
"('29/05/2014-650', 'Present')",8
"('29/05/2014-446', 'Present')",8
"('21/05/2015-105', 'Present')",8
"('11/05/2016-20', 'Present')",8
"('22/05/2015-431', 'Present')",8
"('21/05/2015-268', 'Present')",8
"('30/05/2014-900', 'Present')",8
"('18/12/2014-7', 'Present')",8
"('30/05/2014-863', 'Present')",8
"('21/05/2015-103', 'Present')",8
"('21/05/2015-339', 'Present')",8
"('29/05/2014-611', 'Present')",8
"('20/05/2015-61', 'Present')",8
"('22/05/2015-408', 'Present')",8
"('29/05/2014-668', 'Present')",8
"('21/05/2015-213', 'Present')",8
"('28/05/2014-348', 'Present')",8
"('28/05/2014-372', 'Present')",8
"('16/05/2013-522', 'Present')",8
"('21/05/2015-295', 'Present')",8
"('04/06/2014-1006', 'Present')",8
"('29/05/2014-620', 'Present')",8
"('22/05/2015-372', 'Present')",8
"('22/05/2015-342', 'Present')",8
"('21/05/2015-294', 'Present')",8
"('21/05/2015-287', 'Present')",8
"('30/05/2014-899', 'Present')",8
"('30/05/2014-864', 'Present')",8
"('04/06/2014-1002', 'Present')",8
"('22/05/2015-398', 'Present')",8
"('29/05/2014-634', 'Present')",8
"('30/05/2014-850', 'Present')",8
"('04/06/2014-1005', 'Present')",8
"('28/05/2014-369', 'Present')",8
"('21/05/2015-229', 'Present')",8
"('20/05/2015-55', 'Present')",8
"('30/05/2014-858', 'Present')",8
"('04/06/2014-1004', 'Present')",8
"('30/05/2014-801', 'Present')",8
"('21/05/2015-159', 'Present')",8
"('22/05/2015-368', 'Present')",8
"('21/05/2015-106', 'Present')",8
"('29/05/2014-672', 'Present')",8
"('21/05/2015-160', 'Present')",8
"('29/05/2014-533', 'Present')",8
"('21/05/2015-214', 'Present')",8
"('29/05/2014-621', 'Present')",8
"('30/05/2014-898', 'Present')",8
"('21/05/2015-280', 'Present')",8
"('12/05/2016-272', 'Present')",8
"('28/05/2014-328', 'Present')",8
"('20/05/2015-59', 'Present')",8
"('16/05/2013-679', 'Present')",8
"('30/05/2014-861', 'Present')",8
"('22/05/2015-367', 'Present')",8
"('21/05/2015-234', 'Present')",8
"('22/05/2015-399', 'Present')",8
"('29/05/2014-657', 'Present')",8
"('30/05/2014-805', 'Present')",8
"('21/05/2015-235', 'Present')",8
"('16/05/2013-605', 'Present')",8
"('29/05/2014-400', 'Present')",8
"('29/05/2014-663', 'Present')",8
"('30/05/2014-817', 'Present')",8
"('29/05/2014-623', 'Present')",8
"('21/05/2015-318', 'Present')",8
"('21/05/2015-108', 'Present')",8
"('30/05/2014-748', 'Present')",8
"('21/05/2015-264', 'Present')",8
"('16/05/2013-602', 'Present')",8
"('21/05/2015-104', 'Present')",8
"('29/05/2014-684', 'Present')",8
"('18/12/2014-6', 'Present')",8
"('21/05/2015-137', 'Present')",8
"('30/05/2014-903', 'Present')",8
