,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism,vote-time-h
67200,67200,27/11/2013-2,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,27/11/2013,23:08:53,"AMENDMENT BY HON IP KIN-YUEN TO HON LEUNG YIU-CHUNG'S MOTION ON ""FACING UP TO THE NEEDS OF PERSONS WITH DISABILITIES""",葉建源議員對梁耀忠議員的「正視殘疾人士的需要」議案作出的修正案,IP Kin-yuen,葉建源,Member,Yes,23.0
67270,67270,27/11/2013-3,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,27/11/2013,23:12:54,"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON LEUNG YIU-CHUNG'S MOTION ON ""FACING UP TO THE NEEDS OF PERSONS WITH DISABILITIES"" AS AMENDED BY HON IP KIN-YUEN / HON WONG KWOK-HING",張超雄議員對梁耀忠議員就「正視殘疾人士的需要」所提，經葉建源議員／王國興議員修正的議案，作出的修正案,Dr Fernando CHEUNG,張超雄,Member,Yes,23.0
69790,69790,23/01/2014-3,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,23/01/2014,00:15:46,"AMENDMENT BY HON CLAUDIA MO TO HON ALAN LEONG'S MOTION ON ""SAFEGUARDING EDITORIAL INDEPENDENCE AND AUTONOMY""",毛孟靜議員對梁家傑議員的「捍衞編輯採訪獨立自主」議案作出的修正案,Claudia MO,毛孟靜,Member,Yes,0.0
69860,69860,23/01/2014-4,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,23/01/2014,00:18:26,"AMENDMENT BY HON IP KWOK-HIM TO HON ALAN LEONG'S MOTION ON ""SAFEGUARDING EDITORIAL INDEPENDENCE AND AUTONOMY""",葉國謙議員對梁家傑議員的「捍衞編輯採訪獨立自主」議案作出的修正案,IP Kwok-him,葉國謙,Member,Yes,0.0
69930,69930,23/01/2014-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,23/01/2014,00:20:23,"AMENDMENT BY HON JAMES TO TO HON ALAN LEONG'S MOTION ON ""SAFEGUARDING EDITORIAL INDEPENDENCE AND AUTONOMY""",涂謹申議員對梁家傑議員的「捍衞編輯採訪獨立自主」議案作出的修正案,James TO,涂謹申,Member,Yes,0.0
70000,70000,23/01/2014-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,23/01/2014,00:22:23,"AMENDMENT BY HON CYD HO TO HON ALAN LEONG'S MOTION ON ""SAFEGUARDING EDITORIAL INDEPENDENCE AND AUTONOMY""",何秀蘭議員對梁家傑議員的「捍衞編輯採訪獨立自主」議案作出的修正案,Cyd HO,何秀蘭,Member,Yes,0.0
70070,70070,23/01/2014-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,23/01/2014,00:25:11,"MOTION ON ""SAFEGUARDING EDITORIAL INDEPENDENCE AND AUTONOMY""",「捍衞編輯採訪獨立自主」議案,Alan LEONG,梁家傑,Member,Yes,0.0
108010,108010,29/05/2014-488,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,29/05/2014,13:00:36,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 122 (VOTE NO. 572),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目122的修正案 （表決編號572）,CHAN Chi-chuen,陳志全,Member,Yes,13.0
153650,153650,17/10/2014-1,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,17/10/2014,13:38:09,MOTION FOR THE ADJOURNMENT OF THE COUNCIL UNDER RULE 16(2) OF THE RULES OF PROCEDURE,根據《議事規則》第16（2）條動議的立法會休會待續議案,Alan LEONG,梁家傑,Member,Yes,13.0
156380,156380,31/10/2014-38,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,31/10/2014,13:05:12,MOTION MOVED BY HON WONG YUK-MAN UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE,黃毓民議員根據《立法會（權力及特權）條例》動議的議案,WONG Yuk-man,黃毓民,Member,Yes,13.0
156450,156450,31/10/2014-39,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,31/10/2014,13:11:10,MOTION MOVED BY HON ANDREW LEUNG UNDER THE LEGISLATIVE COUNCIL (POWERS AND PRIVILEGES) ORDINANCE,梁君彥議員根據《立法會（權力及特權）條例》動議的議案,Andrew LEUNG,梁君彥,Member,Yes,13.0
157080,157080,20/11/2014-1,TSANG Yok-sing,Absent,TSANG Yok-sing,曾鈺成,20/11/2014,13:46:20,CHILD ABDUCTION LEGISLATION (MISCELLANEOUS AMENDMENTS) BILL 2013 - SECOND READING,《2013年擄拐兒童法例（雜項修訂）條例草案》 － 二讀,Secretary for Labour and Welfare,勞工及福利局局長,Public Officer,No,13.0
157150,157150,20/11/2014-2,TSANG Yok-sing,Absent,TSANG Yok-sing,曾鈺成,20/11/2014,13:52:55,"CHILD ABDUCTION LEGISLATION (MISCELLANEOUS AMENDMENTS) BILL 2013 - COMMITTEE STAGE - CLAUSES 1, 2, 7, 8 AND 10 TO 17 STAND PART OF THE BILL",《2013年擄拐兒童法例（雜項修訂）條例草案》 － 全體委員會審議階段 － 第1、2、7、8及10至17條納入條例草案,Secretary for Labour and Welfare,勞工及福利局局長,Public Officer,No,13.0
176330,176330,21/05/2015-184,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:43:17,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 91 (VOTE NO. 226),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目91的修正案 （表決編號226）,Albert CHAN,陳偉業,Member,Yes,13.0
176400,176400,21/05/2015-185,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:45:07,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 227),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號227）,Albert CHAN,陳偉業,Member,Yes,13.0
176470,176470,21/05/2015-186,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:46:54,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 228),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號228）,Albert CHAN,陳偉業,Member,Yes,13.0
176540,176540,21/05/2015-187,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,21/05/2015,13:48:41,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 92 (VOTE NO. 229),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目92的修正案 （表決編號229）,Albert CHAN,陳偉業,Member,Yes,13.0
