,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism
82912,82912,28/05/2014-129,LEUNG Kwok-hung,Present,LEUNG Kwok-hung,梁國雄,28/05/2014,12:16:44,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 37 (VOTE NO. 153),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目37的修正案 （表決編號153）,LEUNG Kwok-hung,梁國雄,Member,Yes
84536,84536,28/05/2014-152,CHAN Chi-chuen,Absent,CHAN Chi-chuen,陳志全,28/05/2014,12:54:43,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 44 (VOTE NO. 179),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目44的修正案 （表決編號179）,CHAN Chi-chuen,陳志全,Member,Yes
108823,108823,29/05/2014-499,Gary FAN,Abstain,Gary FAN,范國威,29/05/2014,14:28:09,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 122 (VOTE NO. 588),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目122的修正案 （表決編號588）,Gary FAN,范國威,Member,Yes
118472,118472,29/05/2014-637,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,29/05/2014,20:56:24,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 143 (VOTE NO. 770),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目143的修正案 （表決編號770）,LEUNG Kwok-hung,梁國雄,Member,Yes
135202,135202,30/05/2014-876,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,30/05/2014,20:58:38,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 180 (VOTE NO. 1061),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目180的修正案 （表決編號1061）,LEUNG Kwok-hung,梁國雄,Member,Yes
136532,136532,30/05/2014-895,LEUNG Kwok-hung,Present,LEUNG Kwok-hung,梁國雄,30/05/2014,21:30:12,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 186 (VOTE NO. 1086),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目186的修正案 （表決編號1086）,LEUNG Kwok-hung,梁國雄,Member,Yes
139892,139892,30/05/2014-943,LEUNG Kwok-hung,Absent,LEUNG Kwok-hung,梁國雄,30/05/2014,22:56:42,APPROPRIATION BILL 2014 - COMMITTEE STAGE - AMENDMENT TO HEAD 186 (VOTE NO. 1136),《2014年撥款條例草案》－ 全體委員會審議階段 － 總目186的修正案 （表決編號1136）,LEUNG Kwok-hung,梁國雄,Member,Yes
159091,159091,18/12/2014-6,Kenneth LEUNG,Abstain,Kenneth LEUNG,梁繼昌,18/12/2014,17:08:50,EMPLOYMENT (AMENDMENT) BILL 2014 - COMMITTEE STAGE - HON KENNETH LEUNG’S 2ND AMENDMENT TO CLAUSE 6,《2014年僱傭（修訂）條例草案》－ 全體委員會審議階段 － 梁繼昌議員的第二項修正案 － 第6條,Kenneth LEUNG,梁繼昌,Member,Yes
165094,165094,20/05/2015-22,WONG Yuk-man,Absent,WONG Yuk-man,黃毓民,20/05/2015,16:27:23,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 38),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號38）,WONG Yuk-man,黃毓民,Member,Yes
167722,167722,20/05/2015-60,LEE Cheuk-yan,Present,LEE Cheuk-yan,李卓人,20/05/2015,18:31:00,APPROPRIATION BILL 2015 - COMMITTEE STAGE - AMENDMENT TO HEAD 31 (VOTE NO. 84),《2015年撥款條例草案》－ 全體委員會審議階段 － 總目31的修正案 （表決編號84）,LEE Cheuk-yan,李卓人,Member,Yes
