,,,候選人名單編號 Candidiates List Number,,,,,,,
R0201,瀝源社區會堂,Lek Yuen Community Hall,29,121,1056,18,209,471,1085,2989
R0301,禾輋社區會堂,Wo Che Community Hall,31,118,1533,20,221,713,1474,4110
R0401,浸信會呂明才小學,Baptist Lui Ming Choi Primary School,37,319,1464,26,338,666,2614,5464
R0501,五旬節林漢光中學,Pentecostal Lam Hon Kwong School,34,246,1354,31,342,503,2178,4688
R0601,慈航學校,Chi Hong Primary School,15,105,633,14,179,373,963,2282
R0602,富豪花園商場一樓富豪橋有蓋走廊,Belair Gardens Shopping Arcade 1/F Footbridge,8,127,697,9,138,246,949,2174
R0701,佛教覺光法師中學,Buddhist Kok Kwong Secondary School,27,159,1524,26,281,623,1369,4009
R0801,博康社區會堂,Pok Hong Community Hall,27,167,1606,13,292,733,1776,4614
R0901,沙田圍胡素貞博士紀念學校,Sha Tin Wai Dr. Catherine F. Woo Memorial School,27,166,1279,15,270,569,1405,3731
R1001,秦石社區會堂,Chun Shek Community Hall,24,204,1355,29,289,598,1737,4236
R1101,新田圍社區會堂,Sun Tin Wai Community Hall,15,104,821,19,170,377,733,2239
R1102,五育中學,Ng Yuk Secondary School,3,41,384,6,82,250,603,1369
R1201,九龍城浸信會禧年 (恩平) 小學,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,34,134,1376,15,205,637,1568,3969
R1301,香港中文大學校友會聯會張煊昌學校,CUHK FAA Thomas Cheung School,12,77,433,8,109,257,672,1568
R1302,顯徑體育館,Hin Keng Sports Centre,15,83,835,14,173,436,960,2516
R1401,美田社區會堂,Mei Tin Community Hall,13,102,1280,10,203,559,952,3119
R1501,東莞工商總會劉百樂中學,GCCITKD Lau Pak Lok Secondary School,9,139,902,11,182,266,1168,2677
R1502,博愛醫院陳楷紀念中學,POH Chan Kai Memorial College,11,63,609,10,111,213,722,1739
R1601,顯徑鄰里社區中心,Hin Keng Neighbourhood Community Centre,33,182,1266,18,222,586,1560,3867
R1602,才俊學校,Choi Jun School,5,69,421,9,72,88,459,1123
R1701,隆亨社區中心,Lung Hang Estate Community Centre,23,85,1299,17,211,584,1225,3444
R1801,東莞工商總會張煌偉小學,GCCITKD Cheong Wong Wai Primary School,24,113,1383,20,236,614,1470,3860
R1901,佛教黃允畋中學,Buddhist Wong Wan Tin College,20,139,2124,15,241,645,1600,4784
R1902,東華三院冼次雲小學,TWGHs Sin Chu Wan Primary School,6,38,263,1,62,118,331,819
R2001,美林體育館,Mei Lam Sports Centre,23,136,1208,17,237,456,1369,3446
R2002,基督教香港信義會沙田信義幼稚園,ELCHK Shatin Lutheran Kindergarten,0,20,169,3,15,37,184,428
R2101,保良局蕭漢森小學,PLK Siu Hon Sum Primary School,16,170,1449,23,194,427,1977,4256
R2201,賽馬會體藝中學,Jockey Club Ti-I College,12,198,1285,13,161,312,1617,3598
R2301,香港中文大學富爾敦樓,"John Fulton Centre, The Chinese University of Hong Kong",2,33,277,2,43,56,347,760
R2302,仁愛堂香港台山商會長者活動中心,Yan Oi Tong H.K. Toi Shan Association Elderly Centre,13,163,970,17,155,166,1185,2669
R2401,宣道會台山陳元喜小學,Christian Alliance Toi Shan H. C. Chan Primary School,23,227,2016,17,225,858,2108,5474
R2501,香港中文大學校友會聯會陳震夏中學,CUHKFAA Chan Chun Ha Secondary School,36,250,2161,25,341,829,2383,6025
R2601,香港道教聯合會純陽小學,Hong Kong Taoist Association Shun Yeung Primary School,25,297,1507,38,304,555,2185,4911
R2801,明愛馬鞍山中學,Caritas Ma On Shan Secondary School,35,300,2086,27,397,903,2717,6465
R2901,利安社區會堂,Lee On Community Hall,41,306,2227,24,330,1098,2852,6878
R3001,吳氏宗親總會泰伯紀念學校,Ng Clan's Association Tai Pak Memorial School,30,141,1205,26,218,541,1306,3467
R3002,東華三院黃鳳翎中學,TWGHs Wong Fung Ling College,22,125,579,9,126,259,914,2034
R3101,保良局莊啟程小學,PLK Chong Kee Ting Primary School,32,157,2064,30,223,1088,2146,5740
R3201,馬鞍山聖若瑟小學,Ma On Shan St. Joseph's Primary School,24,132,1291,27,165,613,1436,3688
R3202,恒安社區中心,Heng On Estate Community Centre,20,119,918,8,131,387,1098,2681
R3301,德信中學,Tak Sun Secondary School,39,298,2145,33,297,698,2621,6131
R3401,九龍城浸信會禧年小學,Kowloon City Baptist Church Hay Nien Primary School,33,189,1273,22,270,657,1608,4052
R3402,基督教香港信義會馬鞍山信義學校,The ELCHK Ma On Shan Lutheran Primary School,8,20,411,3,51,118,287,898
R3501,尤德夫人學童牙科診所,Pamela Youde School Dental Clinic,27,197,1412,30,266,633,1974,4539
R3601,路德會梁鉅鏐小學,Leung Kui Kau Lutheran Primary School,15,240,1252,14,194,363,1821,3899
R3602,香港浸會大學附屬學校王錦輝中小學,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,5,20,443,5,38,119,188,818
R3701,香港神託會培基書院,Stewards Pooi Kei College,24,264,1757,30,254,632,2187,5148
R3801,廣源社區會堂,Kwong Yuen Community Hall,27,115,1311,19,169,716,1370,3727
